"""passé composé""","""empty""","""je""","""tu""","""il ""","""elle""","""nous""","""vous""","""ils""","""elles"""
""" s'habiller""","""to get dressed""","""me suis habillé""","""t'es habillé""","""s'est habillé""","""s'est habillée""","""nous sommes habillés""","""vous êtes habillés""","""se sont habillés""","""se sont habillées"""
"""s'aimer""","""to love each other""","""me suis aimé""","""t'es aimé""","""s'est aimé""","""s'est aimée""","""nous sommes aimés""","""vous êtes aimés""","""se sont aimés""","""se sont aimées"""
"""s'amuser""","""to have fun""","""me suis amusé""","""t'es amusé""","""s'est amusé""","""s'est amusée""","""nous sommes amusés""","""vous êtes amusés""","""se sont amusés""","""se sont amusées"""
"""s'appeler""","""to be named""","""me suis appelé""","""t'es appelé""","""s'est appelé""","""s'est appelée""","""nous sommes appelés""","""vous êtes appelés""","""se sont appelés""","""se sont appelées"""
"""s'arrêter""","""to stop""","""me suis arrêté""","""t'es arrêté""","""s'est arrêté""","""s'est arrêtée""","""nous sommes arrêtés""","""vous êtes arrêtés""","""se sont arrêtés""","""se sont arrêtées"""
"""se brosser""","""to brush""","""me suis brossé""","""t'es brossé""","""s'est brossé""","""s'est brossée""","""nous sommes brossés""","""vous êtes brossés""","""se sont brossés""","""se sont brossées"""
"""se confier""","""to confide""","""me suis confié""","""t'es confié""","""s'est confié""","""s'est confiée""","""nous sommes confiés""","""vous êtes confiés""","""se sont confiés""","""se sont confiées"""
"""se coucher""","""to go to bed""","""me suis couché""","""t'es couché""","""s'est couché""","""s'est couchée""","""nous sommes couchés""","""vous êtes couchés""","""se sont couchés""","""se sont couchées"""
"""se débrouiller""","""to manage""","""me suis débrouillé""","""t'es débrouillé""","""s'est débrouillé""","""s'est débrouillée""","""nous sommes débrouillés""","""vous êtes débrouillés""","""se sont débrouillés""","""se sont débrouillées"""
"""se dépêcher""","""to hurry""","""me suis dépêché""","""t'es dépêché""","""s'est dépêché""","""s'est dépêchée""","""nous sommes dépêchés""","""vous êtes dépêchés""","""se sont dépêchés""","""se sont dépêchées"""
"""se détendre""","""to relax""","""me suis détendu""","""t'es détendu""","""s'est détendu""","""s'est détendue""","""nous sommes détendus""","""vous êtes détendus""","""se sont détendus""","""se sont détendues"""
"""se disputer""","""to argue""","""me suis disputé""","""t'es disputé""","""s'est disputé""","""s'est disputée""","""nous sommes disputés""","""vous êtes disputés""","""se sont disputés""","""se sont disputées"""
"""se fâcher""","""to get angry""","""me suis fâché""","""t'es fâché""","""s'est fâché""","""s'est fâchée""","""nous sommes fâchés""","""vous êtes fâchés""","""se sont fâchés""","""se sont fâchées"""
"""se fiancer""","""to get engaged""","""me suis fiancé""","""t'es fiancé""","""s'est fiancé""","""s'est fiancée""","""nous sommes fiancés""","""vous êtes fiancés""","""se sont fiancés""","""se sont fiancées"""
"""se laver ""","""to wash""","""me suis lavé""","""t'es lavé""","""s'est lavé""","""s'est lavée""","""nous sommes lavés""","""vous êtes lavés""","""se sont lavés""","""se sont lavées"""
"""se lever""","""to get up""","""me suis levé""","""t'es levé""","""s'est levé""","""s'est levée""","""nous sommes levés""","""vous êtes levés""","""se sont levés""","""se sont levées"""
"""se marier""","""to get married""","""me suis marié""","""t'es marié""","""s'est marié""","""s'est mariée""","""nous sommes mariés""","""vous êtes mariés""","""se sont mariés""","""se sont mariées"""
"""se méfier""","""to distrust""","""me suis méfié""","""t'es méfié""","""s'est méfié""","""s'est méfiée""","""nous sommes méfiés""","""vous êtes méfiés""","""se sont méfiés""","""se sont méfiées"""
"""se passer""","""to do without""","""me suis passé""","""t'es passé""","""s'est passé""","""s'est passée""","""nous sommes passés""","""vous êtes passés""","""se sont passés""","""se sont passées"""
